2023.08.11 15:10:40,154	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2023.08.11 15:10:40,235	INFO	1	org.l2jmobius.commons.threads.ThreadPool	ThreadPool: Initialized
2023.08.11 15:10:40,238	INFO	1	org.l2jmobius.commons.threads.ThreadPool	...scheduled pool executor with 2 total threads.
2023.08.11 15:10:40,239	INFO	1	org.l2jmobius.commons.threads.ThreadPool	...instant pool executor with 2 total threads.
2023.08.11 15:10:40,242	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2023.08.11 15:10:40,548	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2023.08.11 15:10:40,617	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2023.08.11 15:10:40,629	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2023.08.11 15:10:40,700	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2023.08.11 15:10:40,704	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2023.08.11 15:10:40,705	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 0.0.0.0:9014
2023.08.11 15:10:40,718	INFO	34	org.l2jmobius.commons.network.NetServer	LoginServer: Listening on port 2106 for incoming connections.
2023.08.11 15:11:09,032	INFO	37	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 15:11:09,033	INFO	37	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 15:11:09,034	INFO	37	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 15:11:09,034	INFO	37	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 15:11:09,034	INFO	37	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 15:11:09,034	INFO	37	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 15:11:09,034	INFO	37	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 15:11:09,034	INFO	37	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 16:49:59,093	INFO	37	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 16:49:59,094	INFO	37	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 16:51:03,179	INFO	67	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 16:51:03,180	INFO	67	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 16:51:03,180	INFO	67	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 16:51:03,180	INFO	67	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 16:51:03,180	INFO	67	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 16:51:03,180	INFO	67	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 16:51:03,180	INFO	67	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 16:51:03,180	INFO	67	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 18:41:33,807	INFO	67	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 18:41:33,808	INFO	67	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 18:42:27,920	INFO	110	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 18:42:27,920	INFO	110	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 18:42:27,920	INFO	110	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 18:42:27,921	INFO	110	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 18:42:27,921	INFO	110	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 18:42:27,921	INFO	110	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 18:42:27,921	INFO	110	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 18:42:27,921	INFO	110	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 20:33:58,965	INFO	110	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 20:33:58,967	INFO	110	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 20:34:33,973	INFO	157	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 20:34:33,973	INFO	157	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 20:34:33,974	INFO	157	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 20:34:33,974	INFO	157	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 20:34:33,974	INFO	157	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 20:34:33,974	INFO	157	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 20:34:33,974	INFO	157	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 20:34:33,974	INFO	157	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
2023.08.11 20:49:39,645	INFO	157	org.l2jmobius.loginserver.GameServerThread	GameServer [2] Sieghardt: Connection lost: Connection reset
2023.08.11 20:49:39,645	INFO	157	org.l2jmobius.loginserver.GameServerThread	Server [2] Sieghardt is now set as disconnected.
2023.08.11 20:50:14,594	INFO	165	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [2] Sieghardt IP's:
2023.08.11 20:50:14,594	INFO	165	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	192.168.0.110/192.168.0.0/16
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2023.08.11 20:50:14,595	INFO	165	org.l2jmobius.loginserver.GameServerThread	178.169.202.98/0.0.0.0/0
